Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status,Latitude,Longitude,Altitude,Utm_easting,Utm_northing,Zone,Letter
1698238571.5632439,1135,1698238571,280590534,GPS1_FRAME,1,42.33812833333333,-71.08982166666667,19.8,327841.6057804985,4689434.416509126,19,T
1698238572.2819037,1136,1698238572,280868291,GPS1_FRAME,1,42.33812833333333,-71.08982166666667,19.8,327841.6057804985,4689434.416509126,19,T
1698238572.398287,1137,1698238572,280868291,GPS1_FRAME,1,42.33812833333333,-71.08982166666667,19.8,327841.6057804985,4689434.416509126,19,T
1698238572.5633686,1138,1698238572,280868291,GPS1_FRAME,1,42.33812833333333,-71.08982166666667,19.8,327841.6057804985,4689434.416509126,19,T
1698238573.281182,1139,1698238573,280163049,GPS1_FRAME,1,42.33812833333333,-71.08982166666667,19.8,327841.6057804985,4689434.416509126,19,T
1698238573.3977518,1140,1698238573,280163049,GPS1_FRAME,1,42.33812833333333,-71.08982166666667,19.8,327841.6057804985,4689434.416509126,19,T
1698238573.5625424,1141,1698238573,280163049,GPS1_FRAME,1,42.33812833333333,-71.08982166666667,19.8,327841.6057804985,4689434.416509126,19,T
1698238574.2818298,1142,1698238574,280496835,GPS1_FRAME,1,42.33812833333333,-71.08982166666667,19.8,327841.6057804985,4689434.416509126,19,T
1698238574.397993,1143,1698238574,280496835,GPS1_FRAME,1,42.33812833333333,-71.08982166666667,19.8,327841.6057804985,4689434.416509126,19,T
1698238574.5629542,1144,1698238574,280496835,GPS1_FRAME,1,42.33812833333333,-71.08982166666667,19.8,327841.6057804985,4689434.416509126,19,T
1698238575.28292,1145,1698238575,281894683,GPS1_FRAME,1,42.33812833333333,-71.08982166666667,19.8,327841.6057804985,4689434.416509126,19,T
1698238575.4040136,1146,1698238575,281894683,GPS1_FRAME,1,42.33812833333333,-71.08982166666667,19.8,327841.6057804985,4689434.416509126,19,T
1698238575.564445,1147,1698238575,281894683,GPS1_FRAME,1,42.33812833333333,-71.08982166666667,19.8,327841.6057804985,4689434.416509126,19,T
1698238575.7201476,1148,1698238575,281894683,GPS1_FRAME,1,42.33812833333333,-71.08982166666667,19.8,327841.6057804985,4689434.416509126,19,T
1698238575.862177,1149,1698238575,281894683,GPS1_FRAME,1,42.33812833333333,-71.08982166666667,19.8,327841.6057804985,4689434.416509126,19,T
1698238576.0273905,1150,1698238575,281894683,GPS1_FRAME,1,42.33812833333333,-71.08982166666667,19.8,327841.6057804985,4689434.416509126,19,T
1698238576.2834737,1151,1698238576,282499790,GPS1_FRAME,1,42.33813333333333,-71.089825,19.8,327841.3448159952,4689434.9784700945,19,T
1698238576.4046738,1152,1698238576,282499790,GPS1_FRAME,1,42.33813333333333,-71.089825,19.8,327841.3448159952,4689434.9784700945,19,T
1698238576.569751,1153,1698238576,282499790,GPS1_FRAME,1,42.33813333333333,-71.089825,19.8,327841.3448159952,4689434.9784700945,19,T
1698238577.2822332,1154,1698238577,281186580,GPS1_FRAME,1,42.338143333333335,-71.08983,19.9,327840.9601919559,4689436.099017568,19,T
1698238577.4032254,1155,1698238577,281186580,GPS1_FRAME,1,42.338143333333335,-71.08983,19.9,327840.9601919559,4689436.099017568,19,T
1698238577.5680687,1156,1698238577,281186580,GPS1_FRAME,1,42.338143333333335,-71.08983,19.9,327840.9601919559,4689436.099017568,19,T
1698238578.283863,1157,1698238578,282699108,GPS1_FRAME,1,42.33816,-71.08983833333333,19.9,327840.3191521915,4689437.966596751,19,T
1698238578.4046273,1158,1698238578,282699108,GPS1_FRAME,1,42.33816,-71.08983833333333,19.9,327840.3191521915,4689437.966596751,19,T
1698238578.5696425,1159,1698238578,282699108,GPS1_FRAME,1,42.33816,-71.08983833333333,19.9,327840.3191521915,4689437.966596751,19,T
1698238579.287549,1160,1698238579,286114454,GPS1_FRAME,1,42.33819,-71.08985666666666,20.0,327838.8906721159,4689441.334988533,19,T
1698238579.412914,1161,1698238579,286114454,GPS1_FRAME,1,42.33819,-71.08985666666666,20.0,327838.8906721159,4689441.334988533,19,T
1698238579.5778282,1162,1698238579,286114454,GPS1_FRAME,1,42.33819,-71.08985666666666,20.0,327838.8906721159,4689441.334988533,19,T
1698238580.2866564,1163,1698238580,285590410,GPS1_FRAME,1,42.338225,-71.08987833333333,20.0,327837.201229794,4689445.265341815,19,T
1698238580.412404,1164,1698238580,285590410,GPS1_FRAME,1,42.338225,-71.08987833333333,20.0,327837.201229794,4689445.265341815,19,T
1698238580.5723355,1165,1698238580,285590410,GPS1_FRAME,1,42.338225,-71.08987833333333,20.0,327837.201229794,4689445.265341815,19,T
1698238580.7329743,1166,1698238580,285590410,GPS1_FRAME,1,42.338225,-71.08987833333333,20.0,327837.201229794,4689445.265341815,19,T
1698238580.8750002,1167,1698238580,285590410,GPS1_FRAME,1,42.338225,-71.08987833333333,20.0,327837.201229794,4689445.265341815,19,T
1698238581.0400436,1168,1698238580,285590410,GPS1_FRAME,1,42.338225,-71.08987833333333,20.0,327837.201229794,4689445.265341815,19,T
1698238581.284201,1169,1698238581,283784866,GPS1_FRAME,1,42.33826833333333,-71.08990666666666,20.1,327834.98531420116,4689450.1345473975,19,T
1698238581.4105403,1170,1698238581,283784866,GPS1_FRAME,1,42.33826833333333,-71.08990666666666,20.1,327834.98531420116,4689450.1345473975,19,T
1698238581.5754166,1171,1698238581,283784866,GPS1_FRAME,1,42.33826833333333,-71.08990666666666,20.1,327834.98531420116,4689450.1345473975,19,T
1698238582.2840853,1172,1698238582,283489227,GPS1_FRAME,1,42.33832,-71.08993833333334,20.6,327832.5175363354,4689455.93585651,19,T
1698238582.410216,1173,1698238582,283489227,GPS1_FRAME,1,42.33832,-71.08993833333334,20.6,327832.5175363354,4689455.93585651,19,T
1698238582.5752463,1174,1698238582,283489227,GPS1_FRAME,1,42.33832,-71.08993833333334,20.6,327832.5175363354,4689455.93585651,19,T
1698238583.2851512,1175,1698238583,284187793,GPS1_FRAME,1,42.338375,-71.08997166666667,20.8,327829.92155604914,4689462.110682735,19,T
1698238583.4107406,1176,1698238583,284187793,GPS1_FRAME,1,42.338375,-71.08997166666667,20.8,327829.92155604914,4689462.110682735,19,T
1698238583.5779622,1177,1698238583,284187793,GPS1_FRAME,1,42.338375,-71.08997166666667,20.8,327829.92155604914,4689462.110682735,19,T
1698238584.2862585,1178,1698238584,285147428,GPS1_FRAME,1,42.33843,-71.09000166666667,20.7,327827.60018912074,4689468.278760564,19,T
1698238584.411931,1179,1698238584,285147428,GPS1_FRAME,1,42.33843,-71.09000166666667,20.7,327827.60018912074,4689468.278760564,19,T
1698238584.5789945,1180,1698238584,285147428,GPS1_FRAME,1,42.33843,-71.09000166666667,20.7,327827.60018912074,4689468.278760564,19,T
1698238585.2856348,1181,1698238585,284459590,GPS1_FRAME,1,42.338485,-71.09003,20.7,327825.4161307429,4689474.443464512,19,T
1698238585.4110198,1182,1698238585,284459590,GPS1_FRAME,1,42.338485,-71.09003,20.7,327825.4161307429,4689474.443464512,19,T
1698238585.5715818,1183,1698238585,284459590,GPS1_FRAME,1,42.338485,-71.09003,20.7,327825.4161307429,4689474.443464512,19,T
1698238585.7319343,1184,1698238585,284459590,GPS1_FRAME,1,42.338485,-71.09003,20.7,327825.4161307429,4689474.443464512,19,T
1698238585.8739092,1185,1698238585,284459590,GPS1_FRAME,1,42.338485,-71.09003,20.7,327825.4161307429,4689474.443464512,19,T
1698238586.0413055,1186,1698238585,284459590,GPS1_FRAME,1,42.338485,-71.09003,20.7,327825.4161307429,4689474.443464512,19,T
1698238586.2859578,1187,1698238586,284970045,GPS1_FRAME,1,42.338543333333334,-71.09005833333333,20.9,327823.2411744961,4689480.978310675,19,T
1698238586.4111369,1188,1698238586,284970045,GPS1_FRAME,1,42.338543333333334,-71.09005833333333,20.9,327823.2411744961,4689480.978310675,19,T
1698238586.5788722,1189,1698238586,284970045,GPS1_FRAME,1,42.338543333333334,-71.09005833333333,20.9,327823.2411744961,4689480.978310675,19,T
1698238587.28584,1190,1698238587,284834384,GPS1_FRAME,1,42.3386,-71.09008666666666,21.2,327821.06167372805,4689487.328087013,19,T
1698238587.4114573,1191,1698238587,284834384,GPS1_FRAME,1,42.3386,-71.09008666666666,21.2,327821.06167372805,4689487.328087013,19,T
1698238587.5785837,1192,1698238587,284834384,GPS1_FRAME,1,42.3386,-71.09008666666666,21.2,327821.06167372805,4689487.328087013,19,T
1698238588.2844336,1193,1698238588,283450841,GPS1_FRAME,1,42.338655,-71.09011833333334,21.1,327818.60302080616,4689493.499543446,19,T
1698238588.410073,1194,1698238588,283450841,GPS1_FRAME,1,42.338655,-71.09011833333334,21.1,327818.60302080616,4689493.499543446,19,T
1698238588.5774615,1195,1698238588,283450841,GPS1_FRAME,1,42.338655,-71.09011833333334,21.1,327818.60302080616,4689493.499543446,19,T
1698238589.284784,1196,1698238589,283770322,GPS1_FRAME,1,42.33871166666667,-71.09014833333333,21.2,327816.28622535476,4689499.852696595,19,T
1698238589.4102676,1197,1698238589,283770322,GPS1_FRAME,1,42.33871166666667,-71.09014833333333,21.2,327816.28622535476,4689499.852696595,19,T
1698238589.577606,1198,1698238589,283770322,GPS1_FRAME,1,42.33871166666667,-71.09014833333333,21.2,327816.28622535476,4689499.852696595,19,T
1698238590.2845118,1199,1698238590,283544301,GPS1_FRAME,1,42.338768333333334,-71.09017833333333,21.3,327813.9694345085,4689506.205850694,19,T
1698238590.410227,1200,1698238590,283544301,GPS1_FRAME,1,42.338768333333334,-71.09017833333333,21.3,327813.9694345085,4689506.205850694,19,T
1698238590.5707502,1201,1698238590,283544301,GPS1_FRAME,1,42.338768333333334,-71.09017833333333,21.3,327813.9694345085,4689506.205850694,19,T
1698238590.7310576,1202,1698238590,283544301,GPS1_FRAME,1,42.338768333333334,-71.09017833333333,21.3,327813.9694345085,4689506.205850694,19,T
1698238590.8731809,1203,1698238590,283544301,GPS1_FRAME,1,42.338768333333334,-71.09017833333333,21.3,327813.9694345085,4689506.205850694,19,T
1698238591.0403512,1204,1698238590,283544301,GPS1_FRAME,1,42.338768333333334,-71.09017833333333,21.3,327813.9694345085,4689506.205850694,19,T
1698238591.2865868,1205,1698238591,285591363,GPS1_FRAME,1,42.338825,-71.09020666666666,21.9,327811.7899516181,4689512.555630632,19,T
1698238591.4121659,1206,1698238591,285591363,GPS1_FRAME,1,42.338825,-71.09020666666666,21.9,327811.7899516181,4689512.555630632,19,T
1698238591.5791297,1207,1698238591,285591363,GPS1_FRAME,1,42.338825,-71.09020666666666,21.9,327811.7899516181,4689512.555630632,19,T
1698238592.2872603,1208,1698238592,285419702,GPS1_FRAME,1,42.338883333333335,-71.090235,22.5,327809.6150224562,4689519.090482116,19,T
